Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2022-11-21,3232.7265625,3245.792509301035,3104.5486837156363,3168.685354932863,6489516,2022-11-21
2022-11-28,3279.934326171875,3318.8932669958554,3209.7417806877115,3210.1709013528875,11774772,2022-11-28
2022-12-05,3140.31201171875,3279.9343249355234,3124.671343486697,3274.0691325580347,6893084,2022-12-05
2022-12-12,3090.242919921875,3220.6620910658658,3075.8896117402246,3104.7869225540203,8238311,2022-12-12
2022-12-19,3078.8935546875,3141.504193273067,3017.1886564240494,3077.6059598336938,7827884,2022-12-19
2022-12-26,3105.930908203125,3146.2726747286224,3075.7462392422367,3078.8935121895543,4817893,2022-12-26
2023-01-02,3062.871826171875,3182.8002489849196,3051.8564851033207,3110.032499350603,7500826,2023-01-02
2023-01-09,3218.3251953125,3222.569135917064,3072.0267112918714,3079.513388539864,13463455,2023-01-09
2023-01-16,3207.405517578125,3251.1327540194816,3145.366958073025,3163.439622038295,9067664,2023-01-16
2023-01-23,3260.8662109375,3299.9653468851525,3207.857644781568,3238.831024027852,5115768,2023-01-23
2023-01-30,3328.9794921875,3349.7240263803396,3203.4603916668148,3269.422423008208,10597650,2023-01-30
2023-02-06,3381.79638671875,3391.4039451544413,3285.530121559162,3320.2316937309674,7424555,2023-02-06
2023-02-13,3346.999267578125,3417.5978508037606,3307.8044390793966,3392.742593707006,6777506,2023-02-13
2023-02-20,3250.73291015625,3366.931280851433,3233.382122551034,3347.8118527943548,6073215,2023-02-20
2023-02-27,3194.999755859375,3242.6550240236165,3154.6099637706375,3240.743081202848,9513274,2023-02-27
2023-03-06,3184.340576171875,3255.034611033037,3145.1457507071354,3213.8799976167716,5851626,2023-03-06
2023-03-13,3039.31982421875,3221.4323702576444,3005.5739881694735,3186.252577152944,14993115,2023-03-13
2023-03-20,2983.108154296875,3030.4287290886377,2958.7787337337354,3030.094045809304,7930499,2023-03-20
2023-03-27,3064.748779296875,3071.5362699508946,2967.4310723651683,2996.970496824169,6950944,2023-03-27
2023-04-03,3078.89697265625,3120.625263370771,3034.0141631052243,3082.959851015666,5880359,2023-04-03
2023-04-10,3048.449462890625,3128.846516821545,3039.9890227255155,3078.227878357283,11143763,2023-04-10
2023-04-17,3021.682373046875,3025.1237301431133,2935.071268557228,2996.1101374198397,15769567,2023-04-17
2023-04-24,3077.510986328125,3085.15875766947,2988.5099539866383,3012.361627570626,11030553,2023-04-24
2023-05-01,3088.456298828125,3101.1707632472194,3033.440106211223,3077.510474594208,8452724,2023-05-01
2023-05-08,3130.136962890625,3163.978254512188,3089.030195826785,3102.1269563293026,6342699,2023-05-08
2023-05-15,3080.952392578125,3147.057718800854,3054.328496831327,3139.4099479167694,6247324,2023-05-15
2023-05-22,3182.3330078125,3191.65372869219,3075.407749858315,3087.787532450998,7203248,2023-05-22
2023-05-29,3160.05908203125,3223.5354882051633,3121.3898530589267,3212.828655444575,11577995,2023-05-29
2023-06-05,3067.9990234375,3180.5168091726823,3064.222983131651,3169.0451525120056,8986568,2023-06-05
