ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-05-04,226.817171103166,118.0221872326208,289.2228002271442,226.817171103166,226.817171103166,-25.605609372256655,-25.605609372256655,-25.605609372256655,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737328067246,-3.2277737328067246,-3.2277737328067246,-22.37783563944993,-22.37783563944993,-22.37783563944993,0.0,0.0,0.0,201.21156173090935
2007-05-07,226.37549346595682,114.95375260255429,295.13215685776515,226.37549346595682,226.37549346595682,-24.791866591823705,-24.791866591823705,-24.791866591823705,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896573347,-2.3117504896573347,-2.3117504896573347,-22.48011610216637,-22.48011610216637,-22.48011610216637,0.0,0.0,0.0,201.58362687413313
2007-05-08,226.2282675868871,117.19689080323951,293.54430783797545,226.2282675868871,226.2282675868871,-25.24260478237134,-25.24260478237134,-25.24260478237134,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564809644,-2.796451564809644,-2.796451564809644,-22.446153217561694,-22.446153217561694,-22.446153217561694,0.0,0.0,0.0,200.98566280451578
2007-05-09,226.0810417078174,111.47161863947122,283.3680691457681,226.0810417078174,226.0810417078174,-24.78758080610853,-24.78758080610853,-24.78758080610853,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224074212,-2.399923224074212,-2.399923224074212,-22.38765758203432,-22.38765758203432,-22.38765758203432,0.0,0.0,0.0,201.29346090170887
2007-05-10,225.9338158287477,110.11473757024581,285.39562026038567,225.9338158287477,225.9338158287477,-23.754134171881,-23.754134171881,-23.754134171881,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273500474,-1.4437884273500474,-1.4437884273500474,-22.31034574453095,-22.31034574453095,-22.31034574453095,0.0,0.0,0.0,202.1796816568667
2007-05-11,225.786589949678,108.95144553782636,279.94635667040757,225.786589949678,225.786589949678,-25.447358146633483,-25.447358146633483,-25.447358146633483,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737328014013,-3.2277737328014013,-3.2277737328014013,-22.21958441383208,-22.21958441383208,-22.21958441383208,0.0,0.0,0.0,200.3392318030445
2007-05-14,225.3449123124689,109.14035601894943,288.6586839099824,225.3449123124689,225.3449123124689,-24.222054268591567,-24.222054268591567,-24.222054268591567,0.0,0.0,0.0,0.0,0.0,0.0,-2.311750489664608,-2.311750489664608,-2.311750489664608,-21.91030377892696,-21.91030377892696,-21.91030377892696,0.0,0.0,0.0,201.12285804387733
2007-05-15,225.19768643339918,110.18477487352415,287.42742627400264,225.19768643339918,225.19768643339918,-24.60130498574446,-24.60130498574446,-24.60130498574446,0.0,0.0,0.0,0.0,0.0,0.0,-2.7964515648179717,-2.7964515648179717,-2.7964515648179717,-21.804853420926488,-21.804853420926488,-21.804853420926488,0.0,0.0,0.0,200.59638144765472
2007-05-16,225.05046055432948,116.09453114677473,292.6806468692334,225.05046055432948,225.05046055432948,-24.100392972666597,-24.100392972666597,-24.100392972666597,0.0,0.0,0.0,0.0,0.0,0.0,-2.3999232240741497,-2.3999232240741497,-2.3999232240741497,-21.700469748592447,-21.700469748592447,-21.700469748592447,0.0,0.0,0.0,200.9500675816629
2007-05-17,224.90323467525977,116.19710700189772,288.7200999702146,224.90323467525977,224.90323467525977,-23.040502298714888,-23.040502298714888,-23.040502298714888,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273525043,-1.4437884273525043,-1.4437884273525043,-21.596713871362383,-21.596713871362383,-21.596713871362383,0.0,0.0,0.0,201.86273237654487
